SOURCE: [^enoughrope04]
CITATION: Enough Rope ABC interview 2004 (likely fails, video page)
URL: https://www.youtube.com/watch?v=tGPmDs9HnV8
FETCHED: 2026-07-04 (auto, via fetch_archive.py / trafilatura)
STATUS: fetched, NOT yet independently read/verified against any node claim -- update Sources_Verification_Checklist.md after review

---EXTRACTED TEXT---

0:4444 secondshello you're taller than me that's not allowed
0:5050 seconds[Applause]
0:5353 secondsPaul and welcome to enough rope you've got six brothers and sisters and you reckon you're the quiet one in the family what was your family life like
1:011 minute, 1 secondoh it's um yes I am I'm the fourth girl and the fifth down the line so it's been
1:101 minute, 10 secondsa wonderful childhood I I have to say that I had wonderful parents and I love them dearly my mother passed away in
1:161 minute, 16 seconds1998 six years ago and Dad's still alive he's 85.
1:231 minute, 23 secondsI suppose growing up with some with six brothers and sisters you had to learn how to share we
1:321 minute, 32 secondscouldn't fight or get it carry on mum said get out the backyard if you're going to and of course we read in a shop she used to if we started
1:401 minute, 40 secondsfighting carrying on she'd get a potato get a get a tomato and throw it at us and so was she a good shot oh yeah it's too right she used to go to the
1:481 minute, 48 secondsexhibition she used to hit the um hit the donkeys and she always won the chocolates so she was she was very good I remember seeing a story way back about
1:561 minute, 56 secondsyou and your family on 60 Minutes and I remember your mum saying anything about the yellow race where did she get that from
2:052 minutes, 5 secondswell you ask a lot of the older generation because a lot of the older generation will tell you exactly the same thing and when she said that I
2:122 minutes, 12 secondsthought please but it was really something that was actually um
2:192 minutes, 19 secondstaught and or told to them and I don't know where it came through or where it came from but that was this mom's
2:262 minutes, 26 secondsopinion when you were a kid did that sort of talk scare you did that concern no no no that wasn't the talk of the day
2:332 minutes, 33 secondsat all so I was um so surprised when I'm actually yeah were you wherever agents and Aborigines when you were a kid were
2:412 minutes, 41 secondsthey in your neighborhood no there wasn't actually at Wollongong but I don't recall it even if there was it it never
2:492 minutes, 49 secondsum it never sort of worried we we didn't worry about all this that was going on I think the what's happened over the years
2:562 minutes, 56 secondsis made it worse I think it's it's draw more attention to it you see I don't look at a person their color of the skin
3:053 minutes, 5 secondsor their cultural background what I'm interested in is are you Australian do you love this country as much as I do
3:143 minutes, 14 secondswould you stand up and fight for it do you want the same values and way of life that I want you know and look my
3:243 minutes, 24 secondsgrandparents both sons both sides came out from England and Ireland and like many of other Australians that
3:323 minutes, 32 secondsI know and have support me over the years have come from different walks of life different backgrounds different cultural backgrounds
3:393 minutes, 39 secondsbut they've come here to Australia for a new way of life and what I can't understand is why come here and try and
3:483 minutes, 48 secondschange our country into the place that you've come from and all I ask of people is come here
3:563 minutes, 56 secondsrespect our country respect our laws our culture our way of life be Australian join us enjoy this beautiful country and
4:044 minutes, 4 secondseverything that it has to offer your dad actually didn't want you to go into politic studies so don't do it it's a dirty game did you have any idea how
4:124 minutes, 12 secondsdirty it was so funny um I was in local government for a year and then I I lost that on preferences
4:214 minutes, 21 secondsand Boundary changes so then I decided to stand for federal politics in 1995 I was finally endorsed by the liberal
